x,y,theta
29.8888,23.8195,-1.22101
29.9368,23.688,-1.22101
29.9848,23.5564,-1.22101
30.0328,23.4249,-1.22101
30.0808,23.2934,-1.22101
30.1287,23.1619,-1.22101
30.1767,23.0303,-1.22101
30.2247,22.8988,-1.22101
30.2727,22.7673,-1.22101
30.3206,22.6358,-1.22101
30.3686,22.5043,-1.22101
30.4166,22.3727,-1.22101
30.4646,22.2412,-1.22101
30.5125,22.1097,-1.22101
30.5605,21.9782,-1.22101
30.6085,21.8466,-1.22101
30.6565,21.7151,-1.22101
30.7045,21.5836,-1.22101
30.7524,21.4521,-1.22101
30.8004,21.3206,-1.22101
30.8484,21.189,-1.22101
30.8964,21.0575,-1.22101
30.9443,20.926,-1.22101
30.9923,20.7945,-1.22101
31.0403,20.6629,-1.22101
31.0883,20.5314,-1.22101
31.1363,20.3999,-1.22101
31.1842,20.2684,-1.22101
31.2322,20.1368,-1.22101
31.2802,20.0053,-1.22101
31.3282,19.8738,-1.22101
31.3761,19.7423,-1.22101
31.4241,19.6108,-1.22101
31.4721,19.4792,-1.22101
31.5201,19.3477,-1.22101
31.5681,19.2162,-1.22101
31.616,19.0847,-1.22101
31.664,18.9531,-1.22101
31.712,18.8216,-1.22101
31.76,18.6901,-1.22101
31.8079,18.5586,-1.22101
31.8559,18.4271,-1.22101
31.9039,18.2955,-1.22101
31.9519,18.164,-1.22101
31.9999,18.0325,-1.22101
32.0478,17.901,-1.22101
32.0958,17.7694,-1.22101
32.1438,17.6379,-1.22101
32.1918,17.5064,-1.22101
32.2397,17.3749,-1.22101
32.2877,17.2434,-1.22101
32.3357,17.1118,-1.22101
32.3837,16.9803,-1.22101
32.4317,16.8488,-1.22101
32.4796,16.7173,-1.22101
32.5276,16.5857,-1.22101
32.5756,16.4542,-1.22101
32.6236,16.3227,-1.22101
32.6715,16.1912,-1.22101
32.7195,16.0597,-1.22101
32.7675,15.9281,-1.22101
32.8155,15.7966,-1.20638
32.8654,15.6658,-1.19175
32.9172,15.5357,-1.17712
32.9709,15.4064,-1.16249
33.0265,15.278,-1.14786
33.0839,15.1503,-1.13323
33.1432,15.0235,-1.1186
33.2044,14.8976,-1.10397
33.2674,14.7725,-1.08934
33.3323,14.6484,-1.07471
33.3989,14.5253,-1.04292
33.4694,14.4044,-1.01113
33.5437,14.2857,-0.979339
33.6218,14.1695,-0.947548
33.7035,14.0558,-0.915757
33.7888,13.9448,-0.883967
33.8776,13.8366,-0.852176
33.9697,13.7312,-0.820386
34.0652,13.6288,-0.788595
34.1639,13.5295,-0.756804
34.2657,13.4334,-0.725014
34.3705,13.3405,-0.693223
34.4782,13.2511,-0.661432
34.5886,13.1651,-0.629642
34.7018,13.0826,-0.597851
34.8175,13.0038,-0.56606
34.9357,12.9287,-0.53427
35.0562,12.8574,-0.502479
35.1788,12.79,-0.470688
35.3036,12.7265,-0.438898
35.4304,12.667,-0.407107
35.5589,12.6116,-0.375317
35.6892,12.5603,-0.343526
35.821,12.5131,-0.311735
35.9542,12.4702,-0.279945
36.0888,12.4315,-0.248154
36.2245,12.3971,-0.216363
36.3612,12.3671,-0.184573
36.4989,12.3414,-0.152782
36.6372,12.3201,-0.120991
36.7762,12.3032,-0.120991
36.9152,12.2863,-0.120991
37.0542,12.2694,-0.120991
37.1931,12.2525,-0.120991
37.3321,12.2356,-0.120991
37.4711,12.2187,-0.120991
37.6101,12.2018,-0.120991
37.749,12.1849,-0.120991
37.888,12.168,-0.120991
